Number,Name of ship,Master,Tonnage,Type of ship,Built,Yard,Chamber,Date of departure,Place of departure,Arrival at Cape,Departure from Cape,Date of arrival at destination,Place of arrival,Chamber for which cargo is destined,Particulars,people
1.1,AMSTERDAM,"Schellinger, Jan Jakobsz.",260,"",1594,Amsterdam,"",02-04-1595,Texel,"","",06-06-1596,Engano,"","Equipped (0001-0004) by the Compagnie van Verre of Amsterdam. Eerste Schipvaart under command of Kornelis de Houtman aboard the MAURITIUS. From 26-04 till 27-04 at Maio I.; from 04-08 till 11-08 in the Mosselbaai; from 13-09 till 07-10 in the Ampalazabaai; from 09-10 till 13-12 in S. Augustins Bay, where before departure 127 of the 249 men were still alive; 11-01 till 21-01 at Ste. Marie I.; from 23-01 till 12-02 in the Bay of Antongil. The AMSTERDAM was set on fire near Bawean, 11-01-1597.","{""Total""=>{""I""=>59, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
2.1,DUIFJE,"Mau, Simon Lambrechtsz.",50,pinas,1594,Amsterdam,"",02-04-1595,Texel,"","",06-06-1596,Engano,"",Mau became master of the HOLLANDIA on 26-10-1595; he was succeeded by Hendrik Jansz.,"{""Total""=>{""I""=>20, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
3.1,HOLLANDIA,"Kwadijk, Jan Dignumsz. van (died)",460,"",1594,Amsterdam,"",02-04-1595,Texel,"","",06-06-1596,Engano,"",Jan Dignumsz. died on 29-05-1595 and Mau was his successor.,"{""Total""=>{""I""=>85, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
4.1,MAURITIUS,"Molenaar, Jan Jansz.",460,"",1594,Amsterdam,"",02-04-1595,Texel,"","",06-06-1596,Engano,"",Jan Jansz. died on 25-12-1596 and Hendrik Jansz. was his successor.,"{""Total""=>{""I""=>85, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
5.1,LANGEBARK,"Tonneman, Hans Huibrechtsz.",300,"","","","",25-03-1598,Zeeland,"","", -03-1599,Bantam,"","Fleet (0005-0007) equipped by the Compagnie Ten Haeff of Middelburg under command of Gerard Le Roy aboard the ZON after the loss of the MAAN, which capsized while firing a salute near Dover. The fleet met the fleet of the Compagnie de Moucheron under command of Kornelis Houtman; 1 day at Maio I.; passing the Cape the 2 ships lost sight of each other.","{""Total""=>{""I""=>75, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
6.1,MAAN,"","","","","","",25-03-1598,Zeeland,"","","","","","",{}
7.1,ZON,"",140,"","","","",25-03-1598,Zeeland,"","", -02-1599,Bantam,"","",{}
8.1,LEEUW,"Stokmans, Pieter",400,"","","","",28-03-1598,Veere,"","",30-06-1599,Atjeh,"","Fleet (0008-0009) of the Compagnie de Moucheron, under command of Kornelis de Houtman; from 01-04 till 17-04 at Torbay; from 11-05 till 19-05 at S. Nicolas; from 21-06 till 05-09 before Fernando de Noronha; from 17-11 till 18-11 in St. Helena Bay; from 21-11 till 07-12 in the Saldanha Bay; from 13-02 till 24-03 in S. Augustins Bay; from 10-04 till 27-04 at Mayotte; from 29-04 till 08-05 at Anjouan.","{""Total""=>{""I""=>123, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
9.1,LEEUWIN,"Houtman, Frederik de",250,"","","","",28-03-1598,Veere,"","",30-06-1599,Atjeh,"","","{""Total""=>{""I""=>100, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
10.1,AMSTERDAM,"Fortuin, Kornelis Jansz.",500,"","","","",01-05-1598,Texel,"","",27-12-1598,Engano,"","Fleet (0010-0017) of the Oude Oost-Indische Compagnie under command of admiral Jakob Kornelisz. van Neck aboard the MAURITIUS and vice-admiral Wybrand van Warwijck aboard the AMSTERDAM. On 08-08 1598 the fleet was split up in 2 parts, 1 part - the MAURITIUS, the HOLLANDIA and the OVERIJSSEL - under command of Van Neck took on provisions from 07-09 till 11-09 at Ste. Marie I. and from 12-09 till 16-09 in the Bay of Antongil. Only 2 men died. The other half under command of Van Warwijck took on provisions from 19-09 till 02-10 on an island, they named it Mauritius.","{""Total""=>{""I""=>106, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
11.1,FRIESLAND,"May, Jan Kornelisz.",180,jacht,"","","",01-05-1598,Texel,"","",27-12-1598,Engano,"","","{""Total""=>{""I""=>""42?"", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
12.1,GELDERLAND,"Bruin, Jan",360,"","","","",01-05-1598,Texel,"","",27-12-1598,Engano,"","","{""Total""=>{""I""=>79, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
13.2,HOLLANDIA,"Mau, Simon Lambrechtsz.",460,"",1594,Amsterdam,"",01-05-1598,Texel,"","",26-11-1598,Bantam,"",Also mentioned as HOLLANDSE LEEUW.,"{""Total""=>{""I""=>85, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
14.2,MAURITIUS,"Jansz., Govert",460,"",1594,Amsterdam,"",01-05-1598,Texel,"","",26-11-1598,Bantam,"","","{""Total""=>{""I""=>95, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
15.2,OVERIJSSEL,"Hoen, Simon Jansz.",50,pinas,1594,Amsterdam,"",01-05-1598,Texel,"","",26-11-1598,Bantam,"",The former DUIFJE of the Eerste Schipvaart.,"{""Total""=>{""I""=>20, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
16.1,UTRECHT,"Martensz., Jan",240,"","","","",01-05-1598,Texel,"","",27-12-1598,Engano,"","","{""Total""=>{""I""=>50, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
17.1,ZEELANDIA,"Melknap, Klaas Jansz.",360,"","","","",01-05-1598,Texel,"","",27-12-1598,Engano,"","","{""Total""=>{""I""=>83, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
18.1,BLIJDE BOODSCHAP,"Weert, Sebald de",150,jacht,"","","",27-06-1598,Goeree,"","","","","","Fleet (0018-0023) equipped by the Rotterdamse or Magelhaanse Compagnie under command of admiraal Jacques de Mahu and vice-admiraal Simon de Cordes; from 02-04 till 29-09 at the Cape Verde I.; from 16-12- till 02-01 at Annabon; April 7th the fleet entered Strait of Magellan; the fleet wintered in the Fortesene Bay till 23-08 and from 24-08 till 28-08 in Ridres Bay; during this winter 120 men died. September 3rd the fleet entered the Pacific, where it was scattered by heavy storms. Mahu died 23-09-1598, De Cordes succeeded. In Valparaiso the Spaniards laid an embargo on the BLIJDE BOODSCHAP, 17-11-1599; Dirk Gerritsz. Pomp, who succeeded Sebald de Weert as master on 24-09-1598, and his crew (18 men) were taken prisoner.","{""Total""=>{""I""=>56, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
19.1,GELOOF,"Beuningen, Gerrit van",320,"","","","",27-06-1598,Goeree,"","","","","","The GELOOF met the fleet of Van Noort and joined in; tried for 9 months to sail through the Strait but failed to do so; returned with 36 men under Sebald de Weert, who succeeded Van Beuningen, to Holland and arrived in Goeree 13-07-1600.","{""Total""=>{""I""=>109, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
