Number,Name of ship,Master,Tonnage,Type of ship,Built,Yard,Chamber,Date of departure,Place of departure,Arrival at Cape,Departure from Cape,Date of arrival at destination,Place of arrival,Chamber for which cargo is destined,Particulars,people
1.1,AMSTERDAM,"Schellinger, Jan Jakobsz.",260,"",1594,Amsterdam,"",02-04-1595,Texel,"","",06-06-1596,Engano,"","Equipped (0001-0004) by the Compagnie van Verre of Amsterdam. Eerste Schipvaart under command of Kornelis de Houtman aboard the MAURITIUS. From 26-04 till 27-04 at Maio I.; from 04-08 till 11-08 in the Mosselbaai; from 13-09 till 07-10 in the Ampalazabaai; from 09-10 till 13-12 in S. Augustins Bay, where before departure 127 of the 249 men were still alive; 11-01 till 21-01 at Ste. Marie I.; from 23-01 till 12-02 in the Bay of Antongil. The AMSTERDAM was set on fire near Bawean, 11-01-1597.","{""Total""=>{""I""=>59, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
3.1,HOLLANDIA,"Kwadijk, Jan Dignumsz. van (died)",460,"",1594,Amsterdam,"",02-04-1595,Texel,"","",06-06-1596,Engano,"",Jan Dignumsz. died on 29-05-1595 and Mau was his successor.,"{""Total""=>{""I""=>85, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
5.1,LANGEBARK,"Tonneman, Hans Huibrechtsz.",300,"","","","",25-03-1598,Zeeland,"","", -03-1599,Bantam,"","Fleet (0005-0007) equipped by the Compagnie Ten Haeff of Middelburg under command of Gerard Le Roy aboard the ZON after the loss of the MAAN, which capsized while firing a salute near Dover. The fleet met the fleet of the Compagnie de Moucheron under command of Kornelis Houtman; 1 day at Maio I.; passing the Cape the 2 ships lost sight of each other.","{""Total""=>{""I""=>75, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
7.1,ZON,"",140,"","","","",25-03-1598,Zeeland,"","", -02-1599,Bantam,"","",{}
9.1,LEEUWIN,"Houtman, Frederik de",250,"","","","",28-03-1598,Veere,"","",30-06-1599,Atjeh,"","","{""Total""=>{""I""=>100, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
11.1,FRIESLAND,"May, Jan Kornelisz.",180,jacht,"","","",01-05-1598,Texel,"","",27-12-1598,Engano,"","","{""Total""=>{""I""=>""42?"", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
13.2,HOLLANDIA,"Mau, Simon Lambrechtsz.",460,"",1594,Amsterdam,"",01-05-1598,Texel,"","",26-11-1598,Bantam,"",Also mentioned as HOLLANDSE LEEUW.,"{""Total""=>{""I""=>85, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
15.2,OVERIJSSEL,"Hoen, Simon Jansz.",50,pinas,1594,Amsterdam,"",01-05-1598,Texel,"","",26-11-1598,Bantam,"",The former DUIFJE of the Eerste Schipvaart.,"{""Total""=>{""I""=>20, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
17.1,ZEELANDIA,"Melknap, Klaas Jansz.",360,"","","","",01-05-1598,Texel,"","",27-12-1598,Engano,"","","{""Total""=>{""I""=>83, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
19.1,GELOOF,"Beuningen, Gerrit van",320,"","","","",27-06-1598,Goeree,"","","","","","The GELOOF met the fleet of Van Noort and joined in; tried for 9 months to sail through the Strait but failed to do so; returned with 36 men under Sebald de Weert, who succeeded Van Beuningen, to Holland and arrived in Goeree 13-07-1600.","{""Total""=>{""I""=>109, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
